Entity Display Name,Entity Logical Name,Logical Name,Schema Name,Display Name,Attribute Type,Description,Custom Attribute,Type,Required Level,Additional data,,
Business Travel,msdyn_businesstravel,msdyn_dataconnectionrefresh,msdyn_dataconnectionrefresh,Connection refresh,Lookup,The connection refresh which ingested this accommodation type,True,Simple,None,"Targets:
msdyn_dataconnectionrefresh",,
Business Travel,msdyn_businesstravel,msdyn_dataconnectionrefreshname,msdyn_dataconnectionrefreshName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 3500",,
Business Travel,msdyn_businesstravel,msdyn_datadefinition,msdyn_datadefinition,Sustainability data definition,Lookup,Lookup to corresponding data definition of Business travel activity.,True,Simple,ApplicationRequired,"Targets:
msdyn_sustainabilitydatadefinition",,
Business Travel,msdyn_businesstravel,msdyn_datadefinitionname,msdyn_datadefinitionName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 100",,
Business Travel,msdyn_businesstravel,msdyn_dataqualitytype,msdyn_dataqualitytype,Data quality type,Choice,"Description of the data quality that identifies if the data is actual, estimated, or other descriptors of the data.",True,Simple,None,"Options:
700610000: Actual
700610001: Estimated
700610002: Metered
700610003: Other
Default: 700610003",,
Business Travel,msdyn_businesstravel,msdyn_dataqualitytypename,msdyn_dataqualitytypeName,N/A,Virtual,N/A,True,Simple,None,,,
Business Travel,msdyn_businesstravel,msdyn_description,msdyn_description,Description,Text,Optional description to give additional detail to the entity or attribute.,True,Simple,None,"Format: Text
Max length: 250",,
Business Travel,msdyn_businesstravel,msdyn_destinationcountryisocode,msdyn_destinationcountryisocode,Destination Country/Region (Deprecated),Text,ISO code for the destination country/region.,True,Simple,None,"Format: Text
Max length: 3",,
Business Travel,msdyn_businesstravel,msdyn_distance,msdyn_distance,Distance,Decimal,Quantity associated with distance activity which contributes to mobile combustion or supply chain travel.,True,Simple,None,"Minimum value: -100000000000
Maximum value: 100000000000
Precision: 10",,
Business Travel,msdyn_businesstravel,msdyn_distanceunit,msdyn_distanceunit,Distance unit,Lookup,Unique identifier for the unit associated with distance.,True,Simple,None,"Targets:
msdyn_unit",,
