TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-067913-01-c.csv,,,,,,,,,,,,,,,,,,,
DATE: 04/28/2022,,,,,,,,,,,,,,,,,,,
DESIGN: 02_067913c_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v174_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: C:\tmp\20_067913c\worklib\02_067913c_top\bom\standoffs.callouts,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
41,1,E020695,CAP CER 1uF 16V 20% X5R 0402, 1uF,C0402,20,16V,N/A,C269,MURATA, GRM155R61C105MA12D,REL,N/A,N/A,N/A,N/A,N/A,?,?
42,2,E019413,CAP CER 0.01uF 50V 10% X7R 0402 AEC-Q200, 0.01uF,C0402,10,50V,N/A,"C270,C281",MURATA, GCM155R71H103KA55D,REL,N/A,N/A,N/A,N/A,N/A,?,?
43,1,E045125,CAP CER 1NF 250V 5% C0G 0805 AEC-Q200, 1NF,C0805,5,250V,N/A,C272,TDK, CGA4F3C0G2E102J085AA,REL,N/A,N/A,N/A,N/A,N/A,?,?
44,1,E030886,CAP CER 1uF 50V 10% X7R 0805 AEC-Q200, 1uF,C0805H60,10,50V,N/A,C273,MURATA, GCM21BR71H105KA03L,REL,N/A,N/A,N/A,N/A,N/A,?,?
45,2,E035094,CAP CER 10uF 35V 20% X7R 1206 AEC-Q200 LOW ESR, 10uF,C1206H71,20,35V,N/A,"C274,C276",TDK, CGA5L1X7R1V106M160AC,REL,N/A,N/A,N/A,N/A,N/A,?,?
46,1,E014689,CAP CER 10uF 25V 10% X7R 1206, 10uF,C1206H71,10,25V,N/A,C275,MURATA, GRM31CR71E106KA12L,REL,N/A,N/A,N/A,N/A,7002499,?,?
47,1,E044311,CAP CER 22UF 25V 20% X7R 1210 AEC-Q200, 22UF,C1210H110,20,25V,N/A,C278,TDK, CGA6P3X7R1E226M250AB,REL,N/A,N/A,N/A,N/A,N/A,?,?
48,2,E026209,CAP CER 22uF 16V 10% X5R 1206, 22uF,C1206,10,16V,N/A,"C279,C280",AVX CORPORATION, 1206YD226KAT2A,REL,N/A,N/A,N/A,N/A,N/A,?,?
49,1,E041205,CAP CER 0.01uF 10V 10% X7R 0201 AEC-Q200, 0.01uF,C0201,10,10V,N/A,C287,MURATA, GCM033R71A103KA03D,REL,N/A,N/A,N/A,N/A,N/A,?,?
50,1,E034981,CAP CER 4.7uF 10V 10% X5R 0603 AEC-Q200, 4.7uF,C0603,10,10V,N/A,C32,TAIYO YUDEN, LMK107BJ475KAHT,REL,N/A,N/A,N/A,N/A,N/A,?,?
51,4,E035952,CAP CER 1uF 10V 10% X7S 0402 AEC-Q200, 1uF,C0402,10,10V,N/A,"C39,C42,C45,C49",MURATA, GCM155C71A105KE38D,REL,N/A,N/A,N/A,N/A,N/A,?,?
52,1,E040427,"DIO TVS QUAD LINE FOR ESD PROTECTION, AUTOMOTIVE", ESDA6V1SC6Y,SOT23_6-3,N/A,5.2V,N/A,D1,ST MICROELECTRONICS, ESDA6V1SC6Y,REL,N/A,N/A,N/A,N/A,N/A,?,?
53,1,E040100,"DIO ESD PROTECTION, LOW CAPACITANCE FOR HIGH SPEED DATA", SZESD7004MUTAG,UDFN10_2_5X1,N/A,N/A,N/A,D2,ONSEMI, SZESD7004MUTAG,REL,N/A,N/A,N/A,N/A,N/A,?,?
54,1,E043150,LED TRI-COLOR BLUE/GREEN/RED 470NM/527NM/630NM, CLVBA-FKA-CAEDH8BBB7A363,LEDSML110W126H83,N/A,1.9V/3V,N/A,D3,CREE, CLVBA-FKA-CAEDH8BBB7A363,REL,N/A,N/A,N/A,N/A,N/A,?,?
55,1,E033260,"DIO MEGA SCHOTTKY LOW VF BARRIER RECTIFIER, 10A", PMEG045V100EPDZ,SOT1289,N/A,45V,N/A,D4,NEXPERIA, PMEG045V100EPDZ,REL,N/A,N/A,N/A,N/A,N/A,?,?
56,1,E041379,"DIO TVS UNIDIRECTIONAL, 115.4A", TPSMD16A,DO214AB-4,N/A,16V,N/A,D5,"LITTELFUSE, INC.", TPSMD16A,REL,N/A,N/A,N/A,N/A,N/A,?,?
57,1,E040428,LED RED 615NM AUTOMOTIVE, SML-D14U2WT86C,LED0603_A,N/A,2V,N/A,DS1,ROHM, SML-D14U2WT86C,REL,N/A,N/A,N/A,N/A,N/A,?,?
